id,RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-03-31,2023-05-31,2024-02-29,createdAt,updatedAt
208,395247,210,"Yuma, AZ",msa,AZ,2023-02-28,-0.1,0,2.5,2023-04-04,2023-04-04
209,394765,212,"Lake Havasu City, AZ",msa,AZ,2023-02-28,-0.2,-0.5,2.5,2023-04-04,2023-04-04
210,394346,213,"Athens, GA",msa,GA,2023-02-28,0.6,0.9,3.5,2023-04-04,2023-04-04
211,394361,214,"Barnstable Town, MA",msa,MA,2023-02-28,0,-0.1,0.5,2023-04-04,2023-04-04
212,394464,215,"Chico, CA",msa,CA,2023-02-28,-0.5,-1.2,-2,2023-04-04,2023-04-04
213,394763,216,"Lake Charles, LA",msa,LA,2023-02-28,0.1,-1.2,-6.8,2023-04-04,2023-04-04
214,394485,217,"Columbia, MO",msa,MO,2023-02-28,1.2,2.3,3.7,2023-04-04,2023-04-04
215,394691,218,"Houma, LA",msa,LA,2023-02-28,1.2,-0.4,-6,2023-04-04,2023-04-04
216,394623,219,"Gainesville, GA",msa,GA,2023-02-28,0,0,2.2,2023-04-04,2023-04-04
217,394565,220,"Elkhart, IN",msa,IN,2023-02-28,0.4,0.3,0.2,2023-04-04,2023-04-04
218,395114,221,"Springfield, IL",msa,IL,2023-02-28,0.2,-0.6,-2.9,2023-04-04,2023-04-04
219,394726,222,"Johnson City, TN",msa,TN,2023-02-28,1.6,2.3,4.3,2023-04-04,2023-04-04
220,394597,223,"Florence, SC",msa,SC,2023-02-28,0.8,1.1,1.3,2023-04-04,2023-04-04
221,394716,224,"Jacksonville, NC",msa,NC,2023-02-28,0.6,1,2.9,2023-04-04,2023-04-04
222,394680,225,"Hilo, HI",msa,HI,2023-02-28,-0.5,-0.9,-0.1,2023-04-04,2023-04-04
223,395118,226,"St. Cloud, MN",msa,MN,2023-02-28,0.3,0,-0.6,2023-04-04,2023-04-04
224,394380,227,"Bend, OR",msa,OR,2023-02-28,-0.2,-0.1,1.6,2023-04-04,2023-04-04
225,394872,228,"Monroe, LA",msa,LA,2023-02-28,-0.6,-1.4,-3.6,2023-04-04,2023-04-04
226,395011,229,"Racine, WI",msa,WI,2023-02-28,0.7,0.6,0.4,2023-04-04,2023-04-04
227,395009,230,"Punta Gorda, FL",msa,FL,2023-02-28,-0.5,-0.9,1.7,2023-04-04,2023-04-04
228,395047,231,"Saginaw, MI",msa,MI,2023-02-28,0.7,0.7,2.5,2023-04-04,2023-04-04
229,395202,232,"Warner Robins, GA",msa,GA,2023-02-28,0.6,0.8,1.7,2023-04-04,2023-04-04
230,395151,233,"Terre Haute, IN",msa,IN,2023-02-28,0.6,0.8,1.5,2023-04-04,2023-04-04
231,395119,234,"St. George, UT",msa,UT,2023-02-28,0.1,0.1,1,2023-04-04,2023-04-04
232,394386,235,"Billings, MT",msa,MT,2023-02-28,0.6,0.8,1.3,2023-04-04,2023-04-04
233,394860,236,"Midland, TX",msa,TX,2023-02-28,0,-0.8,-3.6,2023-04-04,2023-04-04
234,394539,237,"Dover, DE",msa,DE,2023-02-28,0.1,0.1,0.8,2023-04-04,2023-04-04
235,394651,238,"Greenville, NC",msa,NC,2023-02-28,0.5,0.6,2.1,2023-04-04,2023-04-04
236,394406,239,"Bowling Green, KY",msa,KY,2023-02-28,0.3,0.4,1.2,2023-04-04,2023-04-04
237,394559,240,"El Centro, CA",msa,CA,2023-02-28,0.7,0.3,-0.7,2023-04-04,2023-04-04
238,394729,241,"Joplin, MO",msa,MO,2023-02-28,0.9,1.4,3.8,2023-04-04,2023-04-04
239,395162,242,"Torrington, CT",msa,CT,2023-02-28,0.4,0.7,0.5,2023-04-04,2023-04-04
240,394712,243,"Jackson, TN",msa,TN,2023-02-28,1.9,2.5,4,2023-04-04,2023-04-04
241,395018,244,"Redding, CA",msa,CA,2023-02-28,-0.3,-0.7,-1.3,2023-04-04,2023-04-04
242,394748,245,"Kingston, NY",msa,NY,2023-02-28,0,0.8,2.9,2023-04-04,2023-04-04
243,395246,246,"Yuba City, CA",msa,CA,2023-02-28,-0.4,-0.9,-1.2,2023-04-04,2023-04-04
